LOCKEDTime,Open,High,Low,Close,TickVol
1767888000,4423.63000,4439.33000,4418.81000,4432.87000,24306
1767891600,4432.90000,4456.43000,4427.73000,4454.00000,23246
1767895200,4454.06000,4464.30000,4446.83000,4463.12000,19975
1767898800,4463.10000,4465.37000,4457.42000,4463.32000,13632
1767902400,4463.11000,4463.11000,4447.77000,4449.49000,14351
1767906000,4449.45000,4452.80000,4444.53000,4452.03000,11296
1767909600,4452.02000,4477.91000,4451.47000,4476.08000,14087
1767913200,4475.86000,4479.45000,4472.49000,4477.26000,6712
1767920400,4480.28000,4483.71000,4472.53000,4475.46000,5765
1767924000,4475.44000,4476.64000,4459.63000,4462.50000,9548
1767927600,4463.18000,4469.91000,4452.76000,4468.77000,19809
1767931200,4468.68000,4476.27000,4465.44000,4469.39000,15134
1767934800,4469.25000,4469.84000,4460.44000,4463.98000,14524
1767938400,4463.95000,4466.77000,4460.67000,4464.49000,7658
1767942000,4464.31000,4471.49000,4458.12000,4467.96000,11252
1767945600,4467.98000,4477.37000,4465.89000,4473.91000,13334
1767949200,4473.81000,4475.27000,4468.40000,4470.04000,8902
1767952800,4470.07000,4476.68000,4463.93000,4468.46000,11381
1767956400,4468.44000,4477.38000,4468.32000,4471.11000,10248
1767960000,4471.07000,4474.04000,4466.91000,4472.45000,7048
1767963600,4472.47000,4476.00000,4468.60000,4475.26000,7805
1767967200,4475.13000,4480.45000,4461.01000,4465.82000,11343
1767970800,4465.84000,4491.67000,4459.00000,4482.58000,23396
1767974400,4482.66000,4498.00000,4478.89000,4494.30000,24939
1767978000,4494.51000,4516.94000,4490.28000,4512.11000,22729
1767981600,4512.08000,4514.09000,4499.59000,4506.27000,17854
1767985200,4506.24000,4511.36000,4481.97000,4484.49000,16609
1767988800,4483.80000,4504.46000,4482.88000,4496.13000,14875
1767992400,4496.12000,4501.79000,4492.68000,4499.15000,10117
1767996000,4498.97000,4510.04000,4497.70000,4507.39000,12873
1767999600,4507.38000,4511.28000,4504.84000,4509.06000,4680
1768179600,4511.39000,4544.88000,4511.39000,4539.86000,10703
1768183200,4539.91000,4600.89000,4536.18000,4588.65000,19632
1768186800,4588.66000,4594.50000,4569.91000,4569.91000,24962
1768190400,4569.90000,4581.94000,4561.47000,4577.41000,20256
1768194000,4577.39000,4581.29000,4567.52000,4570.45000,14627
1768197600,4570.44000,4571.97000,4563.32000,4568.47000,12650
1768201200,4568.46000,4584.82000,4565.99000,4580.63000,14099
1768204800,4580.62000,4580.62000,4569.69000,4578.38000,14993
1768208400,4578.40000,4589.48000,4574.70000,4587.56000,14845
1768212000,4587.55000,4598.30000,4579.22000,4596.62000,14592
1768215600,4596.62000,4599.21000,4587.60000,4588.93000,13685
1768219200,4588.99000,4595.34000,4585.85000,4594.12000,10963
1768222800,4594.05000,4594.87000,4581.69000,4585.20000,10411
1768226400,4585.00000,4590.50000,4578.31000,4590.34000,13539
1768230000,4590.32000,4620.14000,4588.38000,4615.65000,20514
1768233600,4615.68000,4616.97000,4584.95000,4602.07000,27159
1768237200,4602.02000,4627.43000,4601.72000,4621.17000,22281
1768240800,4620.94000,4629.99000,4607.66000,4616.75000,18183
1768244400,4616.76000,4618.36000,4610.55000,4617.89000,12718

