ExitTime,Symbol,Direction,Lot,EntryPrice,ExitPrice,NetProfit,Result,EntryTime_Epoch
2026.02.09 06:43:03,XAUUSD,BUY,0.01,5016.39,5016.23,-0.16,LOSS,1770618767.0
2026.02.09 06:49:40,XAUUSD,BUY,0.01,5015.63,5013.52,-2.11,LOSS,1770619592.0
2026.02.09 07:05:33,XAUUSD,BUY,0.01,5013.29,5013.45,0.16,PROFIT,1770620400.0
2026.02.09 07:22:01,XAUUSD,BUY,0.01,5021.04,5022.04,1.0,PROFIT,1770621532.0
2026.02.09 07:37:52,XAUUSD,BUY,0.01,5029.91,5034.87,4.96,PROFIT,1770622112.0
2026.02.09 09:26:40,GBPUSD,BUY,0.01,1.36128,1.35907,-2.21,LOSS,1770621517.0
2026.02.09 09:56:57,USDJPY,SELL,0.01,156.692,156.666,0.17,PROFIT,1770620400.0
2026.02.09 12:30:16,XAUUSD,BUY,0.01,5039.37,4985.82,-53.55,LOSS,1770622999.0
2026.02.09 12:30:25,NZDUSD,BUY,0.01,0.60199,0.60057,-1.42,LOSS,1770631266.0
2026.02.09 13:48:23,EURJPY,BUY,0.01,185.679,185.713,0.21,PROFIT,1770631264.0
2026.02.09 14:54:26,GBPJPY,SELL,0.01,213.053,213.712,-4.21,LOSS,1770638732.0
2026.02.09 17:18:34,GBPCAD,SELL,0.01,1.85283,1.85644,-2.66,LOSS,1770656402.0
2026.02.09 17:19:27,GBPNZD,SELL,0.01,2.25487,2.25978,-2.97,LOSS,1770656400.0
2026.02.09 17:19:53,EURUSD,BUY,0.01,1.18227,1.19047,8.2,PROFIT,1770618779.0
2026.02.09 17:40:18,EURCAD,BUY,0.01,1.61891,1.61686,-1.51,LOSS,1770654036.0
2026.02.09 17:47:14,NZDCAD,BUY,0.01,0.82073,0.82099,0.19,PROFIT,1770649201.0
2026.02.09 18:27:27,USDJPY,SELL,0.01,156.711,156.031,4.36,PROFIT,1770634083.0
2026.02.09 18:58:39,EURCAD,BUY,0.01,1.6168,1.61432,-1.83,LOSS,1770660000.0
2026.02.10 00:05:05,AUDUSD,BUY,0.01,0.70568,0.70852,2.84,PROFIT,1770652800.0
2026.02.10 00:06:18,AUDNZD,BUY,0.01,1.16897,1.17043,0.88,PROFIT,1770652800.0
2026.02.10 00:06:37,EURJPY,BUY,0.01,185.483,185.536,0.34,PROFIT,1770654036.0
2026.02.10 00:09:53,NZDCAD,BUY,0.01,0.82106,0.81909,-1.45,LOSS,1770660001.0
2026.02.10 00:09:54,GBPNZD,SELL,0.01,2.26088,2.26821,-4.43,LOSS,1770660056.0
2026.02.10 00:53:51,AUDCAD,BUY,0.01,0.95994,0.9608,0.64,PROFIT,1770652800.0
2026.02.10 02:34:20,GBPUSD,BUY,0.01,1.36016,1.36759,7.43,PROFIT,1770634083.0
2026.02.10 03:46:05,AUDJPY,BUY,0.01,110.039,110.355,2.03,PROFIT,1770652800.0
2026.02.10 10:41:42,XAUUSD,BUY,0.01,5024.52,5046.3,21.78,PROFIT,1770714000.0
2026.02.10 11:05:38,GBPCAD,SELL,0.01,1.85634,1.8553,0.77,PROFIT,1770660000.0
2026.02.10 11:30:10,GBPNZD,BUY,0.01,2.26353,2.26003,-2.11,LOSS,1770717600.0
2026.02.10 12:13:35,XAUUSD,BUY,0.01,5048.48,5040.76,-7.72,LOSS,1770724819.0
2026.02.10 14:21:20,GBPCAD,SELL,0.01,1.85388,1.8558,-1.42,LOSS,1770724818.0
2026.02.10 14:22:33,GBPNZD,SELL,0.01,2.26027,2.26417,-2.36,LOSS,1770732002.0
